CUST ID;BALANCE;BALANCE FREQUENCY;PURCHASES;ONEOFF PURCHASES;INSTALLMENTS PURCHASES;CASH ADVANCE;PURCHASES FREQUENCY;ONEOFF PURCHASES FREQUENCY;PURCHASES INSTALLMENTS FREQUENCY;CASH ADVANCE FREQUENCY;CASH ADVANCE TRX;PURCHASES TRX;CREDIT LIMIT;PAYMENTS;MINIMUM PAYMENTS;PRC FULL PAYMENT;TENURE
C10001;40.900.749;0.818182;95.4;0;95.4;0;0.166667;0;0.083333;0;0;2;1000;201.802.084;139.509.787;0;12
C10002;3.202.467.416;0.909091;0;0;0;6.442.945.483;0;0;0;0.25;4;0;7000;4.103.032.597;1.072.340.217;0.222222;12
C10003;2.495.148.862;1;773.17;773.17;0;0;1;1;0;0;0;12;7500;622.066.742;627.284.787;0;12
C10004;1.666.670.542;0.636364;1499;1499;0;205.788.017;0.083333;0.083333;0;0.083333;1;1;7500;0;;0;12
C10005;817.714.335;1;16;16;0;0;0.083333;0.083333;0;0;0;1;1200;678.334.763;244.791.237;0;12
C10006;1.809.828.751;1;1333.28;0;1333.28;0;0.666667;0;0.583333;0;0;8;1800;140.005.777;2.407.246.035;0;12
C10007;627.260.806;1;7091.01;6402.63;688.38;0;1;1;1;0;0;64;13500;6.354.314.328;198.065.894;1;12
C10008;1.823.652.743;1;436.2;0;436.2;0;1;0;1;0;0;12;2300;679.065.082;53.203.399;0;12
C10009;1.014.926.473;1;861.49;661.49;200;0;0.333333;0.083333;0.25;0;0;5;7000;688.278.568;311.963.409;0;12
C10010;152.225.975;0.545455;1281.6;1281.6;0;0;0.166667;0.166667;0;0;0;3;11000;1.164.770.591;100.302.262;0;12
C10011;1.293.124.939;1;920.12;0;920.12;0;1;0;1;0;0;12;1200;1.083.301.007;2.172.697.765;0;12
C10012;630.794.744;0.818182;1492.18;1492.18;0;0;0.25;0.25;0;0;0;6;2000;705.618.627;155.549.069;0;12
C10013;151.692.862;1;3217.99;2500.23;717.76;0;1;0.25;0.916667;0;0;26;3000;608.263.689;490.207.013;0.25;12
C10014;921.693.369;1;2137.93;419.96;1717.97;0;0.75;0.166667;0.75;0;0;26;7500;1.655.891.435;251.137.986;0.083333;12
C10015;2.772.772.734;1;0;0;0;34.681.139;0;0;0;0.083333;1;0;3000;805.647.974;989.962.866;0;12
C10016;6.886.213.231;1;1611.7;0;1611.7;2.301.491.267;0.5;0;0.5;0.166667;4;11;8000;1.993.439.277;210.990.649;0;12
C10017;2.072.074.354;0.875;0;0;0;2.784.274.703;0;0;0;0.25;3;0;3000;391.974.562;376.579.631;0;8
C10018;41.089.489;0.454545;519;0;519;0;0.416667;0;0.333333;0;0;8;2500;254.590.662;73.203.221;0.25;12
C10019;1.989.072.228;1;504.35;166;338.35;0;0.666667;0.083333;0.583333;0;0;9;13000;1.720.837.373;744.613.395;0;12
C10020;3.577.970.933;1;398.64;0;398.64;0;1;0;1;0;0;12;4000;1.053.980.464;1.246.554.938;0;12
C10021;2.016.684.686;1;176.68;0;176.68;0;0.666667;0;0.666667;0;0;8;2000;2.230.686;1.355.729.726;0;12
C10022;6.369.531.318;1;6359.95;5910.04;449.91;229.028.245;1;0.916667;1;0.333333;6;92;11250;2.077.959.051;1.659.775.075;0;12
C10023;13.234.224;0.636364;815.9;0;815.9;0;1;0;1;0;0;17;1800;2.359.629.958;86.329.554;0;12
C10024;3.800.151.377;0.818182;4248.35;3454.56;793.79;7.974.415.626;1;0.083333;0.916667;0.333333;13;13;9000;9.479.043.842;1.425.426.525;0;12
C10025;5.368.571.219;1;0;0;0;798.949.863;0;0;0;0.363636;4;0;6000;1.422.726.707;1.657.002.877;0;11
C10026;169.781.679;1;399.6;0;399.6;0;1;0;1;0;0;12;3000;215.306.142;163.005.536;0;12
C10027;161.596.724;1;102;102;0;244.840.485;0.166667;0.166667;0;0.25;5;2;1700;890.178.845;971.183.209;0;12
